"item","domain","wasserstein","alignment","comparison"
"Negative_Emotionality_2","Negative_Emotionality",0.23,0.9425,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality_3","Negative_Emotionality",0.47,0.8825,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality_4","Negative_Emotionality",0.81,0.7975,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality_5","Negative_Emotionality",0.27,0.9325,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality_6","Negative_Emotionality",0.0300000000000002,0.9925,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality_7","Negative_Emotionality",0.39,0.9025,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality_8","Negative_Emotionality",0.17,0.9575,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality_9","Negative_Emotionality",0.38,0.905,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality_10","Negative_Emotionality",0.13,0.9675,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality_11","Negative_Emotionality",0.21,0.9475,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality_12","Negative_Emotionality",0.38,0.905,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_1","Open_Mindedness",0.91,0.7725,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_2","Open_Mindedness",0.1,0.975,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_3","Open_Mindedness",0.76,0.81,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_4","Open_Mindedness",0.33,0.9175,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_5","Open_Mindedness",0.16,0.96,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_6","Open_Mindedness",0.41,0.8975,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_7","Open_Mindedness",0.48,0.88,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_8","Open_Mindedness",0.29,0.9275,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_9","Open_Mindedness",0.28,0.93,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_10","Open_Mindedness",0.16,0.96,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_11","Open_Mindedness",0.0699999999999999,0.9825,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness_12","Open_Mindedness",0.04,0.99,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
