"item","domain","wasserstein","alignment","comparison"
"Negative_Emotionality_4","Negative_Emotionality",0.09,0.9775,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality_5","Negative_Emotionality",0.08,0.98,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality_6","Negative_Emotionality",0.09,0.9775,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality_7","Negative_Emotionality",0.09,0.9775,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality_8","Negative_Emotionality",0.32,0.92,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality_9","Negative_Emotionality",0.09,0.9775,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality_10","Negative_Emotionality",0,1,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality_11","Negative_Emotionality",0.32,0.92,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality_12","Negative_Emotionality",0.27,0.9325,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_1","Open_Mindedness",0.03,0.9925,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_2","Open_Mindedness",0.89,0.7775,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_3","Open_Mindedness",0.5,0.875,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_4","Open_Mindedness",0.63,0.8425,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_5","Open_Mindedness",0.58,0.855,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_6","Open_Mindedness",0.94,0.765,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_7","Open_Mindedness",0.8,0.8,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_8","Open_Mindedness",0.86,0.785,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_9","Open_Mindedness",0.97,0.7575,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_10","Open_Mindedness",0.97,0.7575,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_11","Open_Mindedness",0.96,0.76,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness_12","Open_Mindedness",0.66,0.835,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
